Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,CorrectExplanation,IncorrectExplanation
Section 1,TMC,"You've written a MATLAB script that uses several global variables. You're finding it difficult to track which parts of the script modify these global variables, leading to unexpected behavior. What is the MOST effective way to improve the code's maintainability and reduce the risk of unintended side effects related to the global variables?",3,Document all uses of global variables in comments.,Rename the global variables to make them more descriptive.,"Refactor the code to minimize or eliminate the use of global variables, passing data as function arguments instead.",Use the `who global` command to list all global variables.,,,,,"Refactoring to eliminate or minimize global variables improves modularity, reduces dependencies, and makes it easier to reason about the code's behavior.",Reduce usage of global variables where possible.
Section 1,TMC,"You have a MATLAB script that is intended to run unattended. However, sometimes the script encounters errors that cause it to halt execution. You want to ensure that the script continues running even if errors occur. What is the MOST effective way to handle these errors?",2,Use the `assert` function to check for potential errors.,Use a `try-catch` block to catch potential errors and log them to a file.,Use the `warning` function to display warning messages for potential errors.,Ignore the errors and allow the script to halt execution.,,,,,"A `try-catch` block allows you to catch errors, log them, and then continue execution, ensuring that the script doesn't halt unexpectedly.",Continues execution when errors are caught.
Section 1,TMC,What is the purpose of the `why` command in MATLAB?,4,To display the version number of MATLAB.,To display a list of all functions in the current directory.,To display a description of a specific function.,To display a (often humorous) explanation of why MATLAB is behaving in a particular way.,,,,,"The `why` command is a fun command that provides a random, often humorous, explanation for the current state of MATLAB.",It's a hidden MATLAB joke.
Section 1,TTF,"In MATLAB, the `ans` variable always contains the result of the last executed command, even if the command was an assignment statement.",,1,The `ans` variable only stores the result of a command if that result is not explicitly assigned to another variable.,,,,,,,Not for explicit assignments.,
Section 1,TMC,You are working with a large MATLAB project and need to manage dependencies between different scripts and functions. You want to ensure that all required functions are available in the MATLAB path before running the main script. What is the MOST effective way to manage these dependencies?,4,Manually add all required functions to the MATLAB path.,Use the `addpath` function to add all required directories to the MATLAB path.,Use the `cd` command to change the current directory to the location of the required functions.,Create a startup script that automatically adds the required directories to the MATLAB path and/or create a project file (.prj) to manage the dependencies.,,,,,"A startup script ensures that the MATLAB path is configured correctly whenever MATLAB is started. Also, using a project file, dependencies are automatically managed making the project more portable.",Startup scripts automatically configure the path.
Section 1,TMC,What is the purpose of the `persistent` keyword when declaring a variable inside a MATLAB function?,1,To allow the variable to retain its value between calls to the function.,To make the variable accessible from other functions.,To declare the variable as a constant.,To declare the variable as a global variable.,,,,,Declaring a variable as `persistent` allows it to retain its value between calls to the function.,`persistent` variables persist between function calls.
Section 1,TMC,What is the purpose of the `methods` function in MATLAB?,2,To display a list of all functions in the current directory.,To display a list of the methods defined for a specific class or object.,To display the source code of a specific function.,To display the documentation for a specific function.,,,,,The `methods` function is used to list the methods (functions) that are defined for a specific class or object.,Display object function methods.
Section 1,TTF,"In MATLAB, the command `doc functionName` will always open the documentation for the built-in function with that name, even if you have a custom function with the same name in your current directory.",,1,"If you have a custom function with the same name as a built-in function, the `doc` command will open the documentation for *your* function instead of the built-in function. To explicitly access the built-in function's documentation, you can use `help builtins functionName`.",,,,,,,"It shows your functions first, not built in.",
Section 1,TMC,"You have a MATLAB script that is intended to be executed by multiple users. You want to ensure that each user has a separate workspace for their script, so that variables created by one user do not interfere with those of another user. What is the MOST effective way to achieve this?",2,Declare all variables as global variables.,Ensure that each user runs the script in a separate MATLAB session or instance.,Use the `clear all` command at the beginning of the script.,Use the `persistent` keyword for all variables.,,,,,Running the script in a separate session guarantees a distinct workspace.,Separate sessions ensure separation of the workspace.
Section 1,TMC,What is the purpose of the `inputParser` class in MATLAB?,3,To display a prompt and get user input.,To validate the data type of input arguments to a function.,To parse input arguments to a function and handle optional arguments.,To generate help documentation for a function.,,,,,"The `inputParser` class provides a flexible and robust way to parse input arguments, handle optional arguments, and provide default values.","Parses inputs, handles optional arguments, and gives default values."
Section 1,TMC,What is the purpose of the `ver` command in MATLAB?,3,To display the current directory.,To display a list of all variables in the workspace.,To display the version information for MATLAB and all installed toolboxes.,To display the help documentation for a specific function.,,,,,The `ver` command displays the version information for MATLAB and all installed toolboxes.,Outputs the version of software and toolboxes.
Section 1,TTF,"In MATLAB, the command `clear functions` removes all function definitions from the workspace, but does not affect variables.",1,,`clear functions` removes all function definitions from the workspace. Variables are unaffected.,,,,,,,Variables are unaffected.,
Section 1,TMC,You are collaborating on a MATLAB project with multiple developers. You want to ensure that everyone is using the same version of MATLAB and the same set of toolboxes. What is the MOST effective way to achieve this?,1,Create a project file (.prj) that specifies the required MATLAB version and toolboxes.,Manually instruct each developer to install the correct version of MATLAB and toolboxes.,Use the `ver` command to check the MATLAB version and toolboxes on each developer's machine.,Use the `dependencies` function to list the dependencies of the project.,,,,,Project files can specify the required MATLAB version and toolboxes ensuring consistent project setup among developers.,Project files ensure consistent environments.
Section 1,TMC,What is the purpose of the `properties` function in MATLAB?,4,To display a list of all variables in the workspace.,To display a list of all functions in the current directory.,To display the source code of a specific function.,To display the properties of a specific object.,,,,,"The `properties` function displays the properties of a specific object, such as its class, size, and data type.",Displays the properties for objects.
Section 1,TMC,What is the purpose of the `drawnow` command in MATLAB?,2,To clear the command window.,To force MATLAB to update the graphics display.,To pause execution of the script.,To display the current date and time.,,,,,"The `drawnow` command forces MATLAB to update the graphics display, ensuring that any pending graphics updates are immediately displayed.",Updates the graphics displays.
Section 1,TTF,"In MATLAB, the `help` command only displays the first comment line in a function's M-file.",,1,"The `help` command displays the entire help block, which is a contiguous block of comment lines at the beginning of the M-file.",,,,,,,Displays the entire help block.,
Section 1,TMC,"You are tasked with writing a MATLAB script that needs to be portable across different operating systems (Windows, macOS, Linux). The script needs to determine the location of the user's home directory. What is the MOST reliable and cross-platform compatible way to achieve this?",2,Use the `pwd` command to get the current directory.,Use the `getenv` function to get the value of the 'HOME' environment variable (or 'USERPROFILE' on Windows).,Hardcode the path to the home directory.,Use the `userpath` command to get the user's MATLAB path.,,,,,"The `getenv` function allows you to access environment variables, which are typically used to store the path to the user's home directory. Different systems have different variables.",The right way to get the operating system's base path.
Section 1,TMC,What is the purpose of the `cellfun` function in MATLAB?,3,To create a cell array.,To convert a cell array to a numeric array.,To apply a function to each element of a cell array.,To display the contents of a cell array.,,,,,The `cellfun` function applies a function to each element of a cell array and returns a numeric array of the results.,Applies a function to each array element.
Section 1,TMC,What is the purpose of the `evalc` function in MATLAB?,4,To evaluate a MATLAB expression and display the result in the command window.,To evaluate a MATLAB expression and assign the result to a variable.,To execute a MATLAB script file.,To evaluate a MATLAB expression and capture the output to a string.,,,,,The `evalc` function evaluates a MATLAB expression and captures the output (including any text displayed in the command window) to a string.,Can capture the output in a string.
Section 1,TTF,"In MATLAB, the command `rmpath` removes the specified directory from the MATLAB path only for the current session.",,1,"`rmpath` removes the specified directory from the MATLAB path permanently, unless you save the path using `savepath`.",,,,,,,The command removes path forever.,
Section 1,TMC,"You are developing a MATLAB application that interacts with an external hardware device. You want to handle potential communication errors gracefully, preventing the application from crashing. What are the BEST practices for achieving robust error handling in this scenario?",4,Use the `error` function to stop execution if a communication error occurs.,Use the `warning` function to display a warning message if a communication error occurs.,Use the `disp` function to display an error message if a communication error occurs.,Use a `try-catch` block to catch potential communication errors and implement a retry mechanism or gracefully degrade functionality. Also check the system return code where applicable and handle expected errors explicitly.,,,,,"Robust error handling involves anticipating potential errors, catching them gracefully, and implementing a recovery strategy. Also handling errors explicitly is important for external device communications.",Important for communication with external devices.
Section 1,TMC,What is the purpose of the `profile viewer` in MATLAB?,4,To display the contents of the MATLAB workspace.,To display the list of all functions in the current directory.,To display the source code of a specific function.,To analyze the performance of MATLAB code and identify performance bottlenecks.,,,,,The Profile Viewer analyzes the performance of MATLAB code and identify performance bottlenecks.,Tool to test code performance.
Section 1,TMC,What is the purpose of the `function_handle` data type in MATLAB?,2,To store a string containing the name of a function.,To store a reference to a function that can be passed as an argument to another function.,To store the source code of a function.,To store the output of a function.,,,,,"Function handles allow you to pass functions as arguments to other functions, enabling you to write more flexible and reusable code.",These function handles allow you to make code reusable.
Section 1,TTF,"In MATLAB, the command `clear all` removes all variables and functions from the workspace, but does not affect the MATLAB path.",1,,"`clear all` clears variables and functions from the workspace, and *also* resets the MATLAB path to its default state.",,,,,,,It resets to default path.,
Section 1,TMC,You are writing a MATLAB function that will be used by other developers. You want to provide clear and concise documentation for the function. What are the BEST practices for documenting the function?,2,Use inline comments to explain the purpose of each line of code.,"Create a help block at the beginning of the M-file that describes the function's purpose, inputs, outputs, and any other relevant information.",Use the `disp` function to display a help message when the function is called with no arguments.,Use the `error` function to throw an error if the function is called with invalid arguments.,,,,,A help block at the beginning of the M-file will get displayed with `help functionName` and is the standard way of documenting MATLAB code.,Displayed with function help command.
Section 1,TMC,What is the purpose of the `mfilename` function in MATLAB?,4,To display the name of the current directory.,To display a list of all functions in the current directory.,To display the source code of a specific function.,To display the name of the M-file that is currently being executed.,,,,,The `mfilename` function displays the name of the M-file that is currently being executed.,Displays the current function's file name.
Section 1,TMC,What is the purpose of the `profile` function in MATLAB?,3,To display the contents of the MATLAB workspace.,To display the list of all functions in the current directory.,To measure the execution time of MATLAB code and identify performance bottlenecks.,To display the help documentation for a specific function.,,,,,The `profile` function is used to measure the execution time of MATLAB code and identify performance bottlenecks.,Code needs to be running to use and test.
Section 1,TTF,"In MATLAB, the `clc` command clears all variables from the workspace, but does not affect the command history.",,1,"`clc` command clears the command window, the `clear` command removes variables.",,,,,,,Does not affect the history.,
Section 1,TMC,You are writing a MATLAB script that needs to perform different actions depending on the version of MATLAB that is running. What is the MOST reliable way to determine the MATLAB version?,3,Use the `version` command to get the MATLAB version string.,Use the `ver` command to get the MATLAB version string.,Use the `version` command and the `split` function to extract the major and minor version numbers.,Use the `ver` command and the `split` function to extract the major and minor version numbers.,,,,,`version` gives a string which can be split and easily compared to a version you need for your program.,You may need to make comparisons to determine differences.
Section 1,TMC,What is the purpose of the `profile` function in MATLAB?,3,To generate a random matrix.,To format code.,To measure performance.,To display variables.,,,,,The primary goal is to measure performance of MATLAB scripts.,Allows tests to run.
Section 1,TMC,What is the purpose of the `dbstop` function in MATLAB?,3,To display the contents of the MATLAB workspace.,To clear the command window.,To set a breakpoint in a MATLAB script.,To display help documentation.,,,,,`dbstop` is used to set a breakpoint for debugging.,A key to debugging.
Section 1,TTF,"In MATLAB, the command `quit` closes MATLAB, and it is the same as `exit`.",1,,`exit` and `quit` both close MATLAB; there is no difference.,,,,,,,Both close MATLAB.,
Section 1,TMC,"You've created a MATLAB script that runs without errors on your machine. However, when another user tries to run the same script, they receive an error message indicating that a specific function is not found. What is the MOST likely cause of this issue, and what is the BEST way to resolve it?",4,The other user is not using the same version of MATLAB.,The other user does not have the necessary toolboxes installed.,The other user does not have the function in their current directory.,The function is not in the MATLAB path on the other user's machine. Use the `addpath` command or create a startup script to ensure the function's directory is added to the path.,,,,,It's important to keep an updated path of any functions to run MATLAB commands.,It will allow the user to run all code.
Section 1,TMC,What is the purpose of the `cd` command in MATLAB?,3,Display the current working directory.,Display a list of files in the current directory.,Change the current working directory.,To rename a file.,,,,,The `cd` command's goal is to move the current working directory.,Allows the folder change.
Section 1,TTF,"In MATLAB, comments can only be placed at the beginning of a line.",,1,Any code can be commented anywhere in the code by specifying it with `%`.,,,,,,,Code can be commented anywhere.,
Section 1,TMC,You are writing a MATLAB script that will be distributed to other users. The script relies on certain data files that are located in a specific subdirectory relative to the script's location. How can you ensure that the script can find these data files regardless of the user's current working directory?,1,Use the `fullfile` function with `mfilename` to construct the full path to the data files.,Use the `pwd` command to get the current working directory and then construct the full path to the data files.,Use the `addpath` function to add the subdirectory to the MATLAB path.,Use the `cd` command to change the current directory to the location of the data files.,,,,,"By taking into account both the current directory and the mfile name, you can access the function relative to the given file.",Proper file locations with relative to existing location.
Section 1,TMC,What is the purpose of the `methodsview` function in MATLAB?,4,To display the contents of the MATLAB workspace.,To display a list of all functions in the current directory.,To display the source code of a specific function.,"To display a graphical view of the methods, properties, and events of a MATLAB class.",,,,,It's an organized and clear approach for users to check what options exist within functions.,Makes testing organized.
Section 1,TTF,"In MATLAB, you can not change the name of the running function.",,1,`mfilename` can be reassigned after the function begins.,,,,,,,Functions can be reassigned.,
Section 1,TMC,"You need to write a cross-platform MATLAB script that handles file paths. You want to concatenate a directory path and a file name, ensuring that the resulting path is valid regardless of the operating system (Windows, macOS, Linux). Which method is MOST reliable for creating correct file paths?",4,Use string concatenation with the `/` character.,Use string concatenation with the `\` character.,Manually check the operating system and use the appropriate path separator.,"Use the `fullfile` function to construct the file path, as this automatically handles the correct path separator for the operating system.",,,,,"With cross-platform MATLAB code, `fullfile` is a reliable option to access code with various systems.",This can make the function truly reusable.
Section 1,TMC,What is the purpose of the `dbstep` function in MATLAB?,1,To execute the next line of code in a debugging session.,To clear the command window.,To display a list of all variables in the workspace.,To set a breakpoint in a MATLAB script.,,,,,This allows the debugger to step through the code.,Allows a proper and thorough testing to confirm functionality.
Section 1,TTF,"In MATLAB, the command `clear all` removes all variables, functions, and persistent variables from the workspace.",1,,"clear all doesn't remove persistent variables, and to remove persistent variables, it's needed to create `clear functions` at a minimum.",,,,,,,Persistent variables require `clear functions` to be removed.,
Section 1,TMC,Which command is used to pause execution in MATLAB for debugging purposes?,1,dbstop,pause,break,stop,,,,,'dbstop' allows you to set breakpoints in the code for debugging.,'pause' halts execution but does not set breakpoints.
Section 1,TTF,True or False: MATLAB uses 1-based indexing for arrays.,1,1,,,,,,,,"MATLAB arrays start indexing at 1, unlike many programming languages.",Incorrect. Many languages use 0-based indexing.
Section 1,TMC,Which command allows you to view the documentation for a specific function in MATLAB?,1,doc,help,lookfor,info,,,,,"'doc' opens the full documentation for the specified function, providing comprehensive details.","'help' provides a brief overview, while 'lookfor' searches for functions."
Section 1,TTF,"True or False: The command 'clear all' removes all variables, functions, and MEX-files from memory.",1,1,,,,,,,,"'clear all' clears all variables, functions, and MEX-files from memory, resetting the workspace.",Incorrect. It also affects functions and MEX-files.
Section 1,TMC,What command would you use to clear all variables from the workspace in MATLAB?,1,clear,clear all,clc,reset,,,,,The 'clear' command removes all variables from the workspace without affecting functions or MEX-files.,'clear all' is more comprehensive but can slow down performance.
Section 1,TTF,True or False: MATLAB supports object-oriented programming.,1,1,,"MATLAB does support object-oriented programming, allowing for the creation of classes and objects.",,,,,,Incorrect. MATLAB has robust OOP capabilities.,
Section 1,TTF,"True or False: The command 'clear all' removes all variables, functions, and MEX-files from memory.",1,1,,"'clear all' clears all variables, functions, and MEX-files from memory, resetting the workspace.",,,,,,Incorrect. It also affects functions and MEX-files.,
Section 1,TTF,True or False: MATLAB uses 0-based indexing for arrays.,1,,1,"MATLAB uses 1-based indexing for arrays, which is different from many programming languages.",,,,,,Incorrect. Most programming languages use 0-based indexing.,
Section 1,TMC,Which command is used to display the current working directory in MATLAB?,1,pwd,cd,ls,dir,,,,,The 'pwd' command displays the current working directory path in MATLAB.,"'cd' changes the directory, while 'ls' and 'dir' list files."
Section 1,TTF,True or False: The command 'clc' clears the command window in MATLAB.,1,1,,"'clc' clears the command window, providing a clean slate for new outputs.",,,,,,Incorrect. It does not affect variables or the workspace.,
Section 1,TTF,True or False: MATLAB automatically clears all variables when you close the program.,1,1,,"When MATLAB is closed, all variables are cleared from memory, resetting the workspace.",,,,,,Incorrect. Variables are cleared only when explicitly instructed.,
Section 1,TMC,Which command is used to change the current directory in MATLAB?,1,cd,pwd,ls,dir,,,,,The 'cd' command changes the current working directory to the specified path.,"'pwd' displays the current directory, while 'ls' and 'dir' list files."
Section 1,TTF,True or False: The command 'close all' closes all open figure windows in MATLAB.,1,1,,"'close all' effectively closes all open figure windows, providing a clean slate for new plots.",,,,,,Incorrect. It does not affect the command window or any variables.,
Section 1,TTF,True or False: MATLAB supports complex numbers natively.,1,1,,"MATLAB has built-in support for complex numbers, allowing operations on them directly.",,,,,,Incorrect. Complex numbers are a fundamental part of MATLAB.,
Section 1,TMC,Which command is used to list all variables in the workspace?,1,who,whos,list,dir,,,,,"The 'who' command lists all variables in the workspace, while 'whos' provides additional details such as size and type.",'list' and 'dir' are not valid commands for this purpose.
Section 1,TTF,True or False: The command 'fprintf' is used to format and print data to the command window.,1,1,,"'fprintf' formats data and prints it to the command window or a file, allowing for customized output.",,,,,,Incorrect. It is not limited to just printing to the command window.,
Section 1,TTF,True or False: MATLAB automatically clears all variables when you close the program.,1,1,,"When MATLAB is closed, all variables are cleared from memory, resetting the workspace.",,,,,,Incorrect. Variables are cleared only when explicitly instructed.,
Section 1,TMC,Which command is used to create a new figure window in MATLAB?,1,figure,newfig,openfig,createfig,,,,,The 'figure' command opens a new figure window for plotting.,"'newfig', 'openfig', and 'createfig' are not valid commands."
Section 1,TTF,True or False: The command 'clc' clears the command window in MATLAB.,1,1,,"'clc' clears the command window, providing a clean slate for new outputs.",,,,,,Incorrect. It does not affect variables or the workspace.,
Section 1,TTF,True or False: MATLAB uses 0-based indexing for arrays.,1,,1,"MATLAB uses 1-based indexing for arrays, which is different from many programming languages.",,,,,,Incorrect. Most programming languages use 0-based indexing.,
Section 1,TMC,"Given a matrix `A = [1 2 3; 4 5 6; 7 8 9]`, which command will efficiently extract the diagonal elements (1, 5, 9) and store them in a column vector named `diag_elements`?",2,"`diag_elements = A(1:3,1:3);`",`diag_elements = diag(A);`,`diag_elements = A(eye(size(A))==1);`,"`diag_elements = A(:,1).*A(:,2).*A(:,3);`",,,,,The `diag(A)` function directly extracts the diagonal elements of a matrix into a column vector.,"Other methods either don't correctly extract the diagonal, are inefficient, or produce incorrect results."
Section 1,TMCMA,Which of the following methods can be used to create a matrix with dimensions 5x5 where all elements are equal to 0?,"1, 3","`zeros(5,5)`","`ones(5,5)`","`repmat(0,5,5)`",`eye(5)`,"`rand(5,5)`",,,,"`zeros(5,5)` creates a 5x5 matrix of zeros and `repmat(0,5,5)` replicates the scalar 0 into a 5x5 matrix.","`ones` creates a matrix of ones, `eye` creates an identity matrix, and `rand` creates a matrix of random numbers."
Section 1,TMC,"Given a matrix `A`, how do you create a new matrix `B` that is a flipped version of `A` along the columns (left-right)?",1,`B = fliplr(A);`,`B = flipud(A);`,`B = A';`,"`B = A(:,end:-1:1);`",,,,,`fliplr(A)` flips the matrix `A` along the columns (left-right).,"`flipud` flips along the rows, `A'` transposes, and while the last option works it's less readable."
Section 1,TTF,"The expression `A(end)` will always return the last element of a matrix `A`, regardless of its dimensions.",,1,"If A is a matrix, `A(end)` returns the last element in a column-wise traversal. For a vector, it will return the last element, but its behavior differs for a matrix.",,,,,,,Only works for vectors,
Section 1,TMC,"You have two matrices, `A` (3x4) and `B` (4x2). You want to perform matrix multiplication `C = A * B`. However, MATLAB throws an error: `Inner matrix dimensions must agree`. What is the MOST common reason for this error, and how can you fix it?",3,The matrices are not square matrices.,The data types of the matrices are incompatible.,The number of columns in `A` does not equal the number of rows in `B`.,The matrices are singular matrices.,,,,,"For matrix multiplication, the number of columns in the first matrix (`A`) must equal the number of rows in the second matrix (`B`).",Other options are not the core reason for dimension mismatch in matrix multiplication.
Section 1,TMCMA,Which of the following statements are true regarding logical indexing in MATLAB?,"1, 3, 4",Logical indexing can be used to select elements of an array based on a condition.,Logical indexing requires the index to be an integer.,The logical index array must have the same dimensions as the array being indexed.,The result of logical indexing is always a vector.,Logical indexing cannot be used with strings.,,,,Logical indexing uses a logical array (true/false) to select elements where the corresponding element in the logical array is true. The result is indeed always a vector. Logical indexing needs to have the same dimensions as the array being indexed,Requires same dimensions to map and returns a vector.
Section 1,TMC,"Given a matrix `A`, how can you efficiently remove all rows that contain at least one `NaN` value?",4,`A(isnan(A)) = [];`,"`A(any(isnan(A),1)) = [];`",`A(~isnan(A)) = [];`,"`A(any(isnan(A),2),:) = [];`",,,,,"`A(any(isnan(A),2),:) = [];` efficiently removes any row that has at least one NaN in it using `any(isnan(A),2)` to specify the rows.",This filters the rows correctly.
Section 1,TTF,"In MATLAB, `A(:)` reshapes the matrix `A` into a column vector, regardless of the original dimensions of `A`.",1,,`A(:)` linearizes the matrix `A` into a single column vector by stacking the columns on top of each other.,,,,,,,This is the standard linearize operator.,
Section 1,TMC,You have a matrix `A = [1 2 NaN; 4 NaN 6; 7 8 9]`. You want to replace all `NaN` values in the matrix with the mean of the non-`NaN` values in their respective columns. Which approach is the MOST concise and efficient?,3,Use a loop to iterate through each column and replace `NaN` values with the column mean.,Replace all `NaN` values with a single global mean calculated from all non-`NaN` values in the matrix.,Use `nanmean` along with logical indexing to replace `NaN` values in each column with the corresponding column mean.,Use the `fillmissing` function with the 'linear' method.,,,,,Using `nanmean` in conjunction with logical indexing is the most efficient and direct way to calculate and replace `NaN` values with column-wise means.,This is the correct implementation.
Section 1,TMCMA,Which of the following methods can be used to sort the rows of a matrix `A` based on the values in the first column?,"1, 4","`sortrows(A,1)`","`sort(A(:,1))`","`A = A(sort(A(:,1)),:)`","`A = sortrows(A,1)`","`sort(A, 'row')`",,,,"`sortrows(A,1)` sorts based on the first column, and `A = sortrows(A,1)` sorts and reassigns `A`.",Syntax of `sortrows`.
Section 1,TMC,"Given a matrix `A`, how do you efficiently find the indices of all elements that are greater than a certain value, `threshold`?",3,"`[row, col] = find(A > threshold)`",`indices = A > threshold`,`indices = find(A > threshold)`,`indices = (A > threshold)`,,,,,"`indices = find(A > threshold)` returns a linear index of all elements that satisfy the condition. `[row, col] = find(A > threshold)` returns the row and column indices.",Correct usage of `find`.
Section 1,TTF,"In MATLAB, the expression `A(1,:) = []` removes the first column of the matrix `A`.",,1,"`A(1,:) = []` removes the first *row* of the matrix `A`. To remove the first column, you would use `A(:,1) = []`.",,,,,,,"Removes the first row, not column.",
Section 1,TMC,"You have a 3D array `A` of size 10x10x10. You want to extract a 2D slice from the array, specifically the plane where the third dimension is equal to 5. Which indexing method is MOST efficient for this task?",1,"`slice = A(:,:,5)`","`slice = A(:,:,[5])`","`slice = A(1:10,1:10,5)`","`slice = squeeze(A(:,:,5))`",,,,,"`A(:,:,5)` directly selects the 2D slice without any unnecessary operations. `squeeze` removes singleton dimensions, which is redundant if the goal is just to extract the slice.",Correct indexing for 3D matrices.
