Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A heavy equipment operator is compacting soil next to a 6-foot deep trench. What is the minimum distance the equipment must be kept from the edge of the trench to prevent a surcharge load from causing a collapse?,multiple-choice,"Spoil piles must be 2 feet from the edge, so the equipment can be closer.","Incorrect: The 2-foot rule (1926.651(j)(2)) is for spoil piles, not the dynamic load of heavy equipment.",There is no minimum distance if the trench has a shield.,"Incorrect: A shield must be rated to handle surcharge loads; a standard shield may not be sufficient, and maintaining distance is still best practice.",A distance determined by a competent person based on soil type and equipment weight.,Correct: OSHA does not set a single minimum distance. 1926.651(c)(2) requires that precautions be taken to protect employees from hazards like moving equipment. The competent person must assess the risk and establish a safe setback.,At least 5 feet from the edge.,"Incorrect: This is an arbitrary distance; the safe distance depends on the specific site conditions (soil, equipment weight, vibrations).",,,,,3,"OSHA standard 1926.651 addresses stability of adjacent structures and surcharge loads. It does not provide a specific setback distance for heavy equipment. Instead, it places the responsibility on the employer and the competent person to assess the site-specific conditions (soil type, trench depth, equipment weight/vibrations) and determine a safe distance or take other protective measures to prevent a collapse due to the surcharge load.",Caught-In/Between Hazards
"A grinder with a 7-inch abrasive wheel is being used without a safety guard. The wheel shatters, injuring the operator. The employer's failure to ensure the guard was in place is a violation of which hierarchy of controls principle?",multiple-choice,Failure to provide adequate Personal Protective Equipment (PPE).,"Incorrect: While PPE (like a face shield) is also required, the missing guard is a failure of a more critical control.",Failure to implement an administrative control.,Incorrect: Guarding is not an administrative control; it is an engineered feature of the tool.,Failure to utilize a required engineering control.,"Correct: Machine guards are a primary example of an engineering control, as they are physically built into the machine to prevent contact with the hazard. Removing one subverts this control.",Failure to implement a substitution.,"Incorrect: Substitution would involve replacing the grinder with a safer tool, which is not the issue here. The issue is misusing the existing tool.",,,,,3,"The hierarchy of controls prioritizes engineering controls because they remove or isolate the hazard at the source. A safety guard on an abrasive wheel (required by 29 CFR 1926.303(b)) is a classic engineering control. Operating the tool without it is a direct failure to implement this control, forcing reliance on less effective controls like work practices or PPE.",Struck-By Hazards
A scaffold has a front leg positioned 2.5 feet from the face of a building. What specific OSHA violation exists regarding the scaffold platform planking?,multiple-choice,The platform is not fully planked.,"Incorrect: The issue is not the planking itself, but its distance from the building.",The planks are not cleated.,"Incorrect: Cleating is to prevent movement, but the distance is the primary violation here.",The gap between the platform and the building exceeds the maximum allowable distance.,"Correct: 29 CFR 1926.451(b)(1)(i) states the gap between the platform and other structures shall not be more than 14 inches, unless guardrails and/or PFAS are used. 2.5 feet (30 inches) far exceeds this.",The scaffold is not inspected by a competent person.,"Incorrect: While inspection is required, the specific violation identified by the measurement is the excessive gap.",,,,,3,"OSHA standard 29 CFR 1926.451(b)(1)(i) is very specific about the distance between a scaffold platform and the work surface. For general work, the gap cannot exceed 14 inches. The 30-inch gap described creates a significant fall hazard, both for workers falling through the gap and for tools/materials falling onto people below.",Ladder & Scaffold Safety
Which TWO statements accurately describe the responsibilities of a 'competent person' for excavations under OSHA 1926 Subpart P?,multi-select,They must be capable of identifying existing and predictable hazards in the excavation.,"Correct: This is part of the core definition of a competent person in 1926.650(b), which includes hazard recognition.",They must have a degree in geological engineering.,"Incorrect: A degree is not required. A competent person is defined by knowledge and training, not necessarily a formal degree. A qualified person might have a degree.",They must conduct daily inspections of the excavation prior to the start of work.,Correct: 1926.651(k)(1) mandates that a competent person must inspect excavations daily and after any hazard-increasing event.,They must personally approve any work inside a trench deeper than 20 feet.,"Incorrect: The design of protective systems for trenches over 20 feet must be done by a registered professional engineer (a qualified person), not just approved by a competent person.",,,,,"1,3","The role of the competent person in excavations is paramount. Their key duties, as defined in 1926 Subpart P, include having the knowledge to identify hazards (cave-ins, hazardous atmospheres, etc.), the authority to take prompt corrective measures, and the responsibility to conduct daily and event-triggered inspections of the site.",Excavation & Trenching
"A worker is using a portable circular saw to cut plywood. The lower blade guard has been wedged open. The saw kicks back, causing a severe laceration. The act of wedging the guard open violates which TWO safety principles?",multi-select,It defeats a critical engineering control.,Correct: The retractable lower guard is an engineered safety feature designed to cover the blade when not cutting (1926.304(d)). Defeating it removes this protection.,It violates the manufacturer's specific operating instructions.,"Correct: Manufacturers universally prohibit altering or defeating safety guards, and OSHA requires equipment to be used in accordance with these instructions.",It is a failure of administrative controls.,"Incorrect: This is a direct physical modification of the tool, which is a failure of an engineering control, not an administrative policy like job rotation or warning signs.",It is acceptable if the worker is wearing cut-resistant gloves.,Incorrect: PPE (gloves) is never an acceptable substitute for a required machine guard. The guard prevents the incident; the PPE only reduces its severity.,,,,,"1,2","Disabling a safety guard is a severe violation. It represents a failure to use an engineering control designed to prevent the exact type of incident that occurred (kickback/contact). It also violates the principle of using tools as intended by the manufacturer, a general duty under OSHA. The guard is a non-negotiable safety feature per 29 CFR 1926.304(d).",Caught-In/Between Hazards
"During an OSHA inspection, the compliance officer observes an electrical cord with its grounding pin broken off being used to power a drill. This is a 'serious' violation because:",multiple-choice,It violates the manufacturer's warranty.,Incorrect: Warranty status is irrelevant to OSHA classification. The issue is worker safety.,The absence of the grounding pin could lead to worker electrocution.,"Correct: The grounding pin provides a path for fault current. Without it, the tool's metal casing can become energized in a fault condition, creating a lethal electrocution hazard.",It could cause the tool to overheat.,"Incorrect: While possible, the primary and most severe hazard is electrocution, which is what makes the violation 'serious'.",It is only a 'de minimis' violation since the tool still works.,Incorrect: A 'de minimis' violation has no direct impact on safety. A missing ground pin is a direct and serious safety hazard.,,,,,2,"A 'serious' violation, as defined by OSHA, is one where there is a substantial probability that death or serious physical harm could result from a hazard. A missing grounding pin (a violation of 1926.404(f)(6)) creates a direct path for fatal electrical shock, clearly meeting the criteria for a serious violation.",Electrocution
"A contractor is performing overhand bricklaying at a height of 15 feet. Which fall protection method is specifically permitted by OSHA for this task, which might not be allowed for other construction work at the same height?",multiple-choice,A safety monitoring system alone.,"Incorrect: Safety monitoring alone is generally for low-slope roofing, not bricklaying at this height.",No fall protection is needed if the wall is at least 39 inches high.,Incorrect: The wall height does not substitute for fall protection for the worker.,A controlled access zone (CAZ) can be used instead of guardrails for this specific task.,Correct: 29 CFR 1926.501(b)(9)(i) specifically allows the use of a controlled access zone for overhand bricklaying and related work as a form of fall protection.,Personal fall arrest systems are prohibited for this work.,Incorrect: PFAS are a permissible and often preferred method of fall protection in this scenario.,,,,,3,"OSHA recognizes the unique nature of overhand bricklaying and provides specific fall protection options in 29 CFR 1926.501(b)(9). This standard allows employers to establish a controlled access zone (CAZ) on the side of the wall opposite the one being laid, preventing other workers from entering the hazardous area, as an alternative to conventional fall protection for the masons.",Fall Protection
When is it permissible for the access/egress ladder in a 20-foot trench to be more than 25 feet away from a worker?,multiple-choice,When the trench is protected by a shield system.,Incorrect: The type of protective system does not change the ladder access distance rule.,"When the worker is at the end of the trench, and the ladder is at the other end.",Incorrect: The 25-foot maximum travel distance is absolute for trenches 4 feet or deeper.,When the soil is stable Type A.,Incorrect: Soil classification does not alter the requirement for safe access and egress.,Never; a ladder or other safe means of egress must be within 25 feet of lateral travel.,"Correct: 29 CFR 1926.651(c)(2) states that a stairway, ladder, ramp, or other safe means of egress shall be located in trench excavations that are 4 feet or more in depth so as to require no more than 25 feet of lateral travel for employees.",,,,,4,"The OSHA standard for trenching egress, 29 CFR 1926.651(c)(2), is strict and without exception based on conditions. For any trench 4 feet or deeper, workers must have a means of egress (like a ladder) within 25 feet of their position at all times. This ensures they can escape quickly in an emergency.",Excavation & Trenching
A telehandler (rough terrain forklift) is being used to lift a load of lumber to a third-story balcony. The operator is using a load chart that belongs to a different model of telehandler. This is a critical error because:,multiple-choice,The operator must be certified specifically on the model being used.,"Correct: While related, the core issue is the load chart. 1926.1400 standards, referenced for telehandlers, require that operators use the specific charts for the machine's configuration. It implies a deeper problem than just certification.",Load charts are only advisory and not mandatory.,Incorrect: Load charts are mandatory and legally part of the machine's operational limits under OSHA.,The specific telehandler's capacity changes dramatically with boom angle and extension.,"Correct: Each telehandler model has a unique load chart. Using the wrong one means the operator cannot know the true safe lifting capacity at a given boom angle and extension, leading to a potential catastrophic tip-over or structural failure.",The lumber should be lifted by a crane instead.,"Incorrect: A telehandler is an appropriate machine for this task if used correctly; the method is not the issue, but the incorrect operational data is.",,,,,3,"Telehandler stability is critically dependent on its geometry (boom angle and extension). The manufacturer's load chart, as required by standards like ASME B56.6 and referenced by OSHA, provides the precise safe working load for every configuration. Using a chart from another model is like flying a plane with the wrong flight manual—it makes a safe lift impossible to calculate and creates a massive risk of a struck-by or caught-between incident from a dropped load or machine tip-over.",Struck-By Hazards
An employer requires workers to enter a dusty environment with an unknown concentration of an airborne contaminant. What is the MINIMUM level of respiratory protection the employer must provide until the exposure levels are measured?,multiple-choice,An N95 filtering facepiece respirator.,Incorrect: An N95 is not sufficient for an atmosphere that could be Immediately Dangerous to Life or Health (IDLH).,A full-facepiece respirator with appropriate chemical cartridges.,Incorrect: This is insufficient if the concentration is unknown and could be IDLH.,"A full-facepiece, pressure-demand Self-Contained Breathing Apparatus (SCBA).","Correct: Under 29 CFR 1910.134(d)(1)(i), when exposure levels are unknown or could be IDLH, the employer must provide the highest level of protection, which is typically an SCBA or a supplied-air respirator with an escape bottle.",A half-mask elastomeric respirator with P100 filters.,Incorrect: This does not protect against oxygen deficiency or extremely high concentrations that could be IDLH.,,,,,3,"The OSHA respiratory protection standard (1910.134) operates on a principle of caution. If an atmosphere is unevaluated, it must be treated as Immediately Dangerous to Life or Health (IDLH). In an IDLH or potentially IDLH atmosphere, the only acceptable respirators are a full-facepiece pressure-demand SCBA or a combination full-facepiece supplied-air respirator with an auxiliary self-contained air supply.",Health Hazards
