item,category,status,qty,estUsd,currentSupplier,existingRef,action,recommendedSupplier,contact,note
"Couteau de Poche Compact Pliable","Outillage","sourced","1","10","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics/wholesale — replace the generic block with a concrete order"
"2 Artéfacts Ouverture Boîte Impression 3D","Outillage","ordered","2","24","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop","0651296438 (Fès)","crystal decoration + household"
"Crest 3D Whitestrips Professional Effects","Santé","purchased","1","45","Crest","","ENTER REAL SUPPLIER + orderRef","Opalescence / Amed.ma","","oral-care whitening"
"Natural Alternatives to NAC (N-Acétylcystéine)","Santé","purchased","1","25","Various","","ENTER REAL SUPPLIER + orderRef","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Opalescence Go (Dentist whitening)","Santé","sourced","1","65","Opalescence","","PLACE ORDER","Opalescence / Amed.ma","","oral-care whitening"
"Security Camera Shop Pack","Security","sourced","1","350","Wholesale supplier","","PLACE ORDER","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Accessoires pour Caméras Multiples (kit)","Security","purchased","1","45","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Winston Filter Soft","Tabac","sourced","20","170","Winston","","PLACE ORDER","Winston","",""
"Panter Mignon","Tabac","sourced","5","35","Panter","","PLACE ORDER","Panter","",""
"Panter Café Crème Original","Tabac","ordered","5","37.5","Panter","","CHASE SHIPMENT (enter orderRef+tracking)","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Mil-Tec US Tactical Flight Jacket Black 2XL","Vêtements","sourced","1","85","Mil-Tec","","PLACE ORDER","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Autocollants theme football 50 pcs","accessories","ordered","1","4","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop / Jumia","0651296438 (Fès)","household/deco + stickers"
"Football Stickers 50 pcs Multi-color","accessories","sourced","1","5","AliExpress","","PLACE ORDER","Déco Shop / Jumia","0651296438 (Fès)","household/deco + stickers"
"Football Stickers 54 pcs Q Version","accessories","purchased","1","5","AliExpress","","ENTER REAL SUPPLIER + orderRef","Déco Shop / Jumia","0651296438 (Fès)","household/deco + stickers"
"Camera Accessories Multiples Pack","accessories","purchased","2","30","AliExpress","","ENTER REAL SUPPLIER + orderRef","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Couteau de poche compact pliable","accessories","ordered","1","5","Jumia / Lamacom","","CHASE SHIPMENT (enter orderRef+tracking)","Jumia / Lamacom","",""
"Autocollants football dessin anime 54 pcs","accessories","ordered","1","4","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop / Jumia","0651296438 (Fès)","household/deco + stickers"
"Camera tableau de bord TOTNG 1080P","automotive","sourced","1","20","Jumia","","PLACE ORDER","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Mont Blanc Legend Perfume","beauty","sourced","1","75","Amazon EU","","PLACE ORDER","Parfumerie Prestige","0782-920468","Parfumerie.ma official"
"Parfum Paco Rabanne One Million 50ml","beauty","ordered","1","67","ParfumMaroc","","CHASE SHIPMENT (enter orderRef+tracking)","Parfumerie Prestige","0782-920468","Parfumerie.ma official"
"Parfum Mont Blanc Legend 50ml","beauty","ordered","1","50","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Parfumerie Prestige","0782-920468","Parfumerie.ma official"
"Mont Blanc Legend Perfume","beauty","sourced","1","75","Amazon EU","","PLACE ORDER","Parfumerie Prestige","0782-920468","Parfumerie.ma official"
"Paco Rabanne Perfume","beauty","sourced","1","85","Amazon EU","","PLACE ORDER","Parfumerie Prestige","0782-920468","Parfumerie.ma official"
"Paco Rabanne Perfume","beauty","purchased","1","85","Amazon EU","","ENTER REAL SUPPLIER + orderRef","Parfumerie Prestige","0782-920468","Parfumerie.ma official"
"Opalescence Go dentifrice blanchissant","beauty","ordered","1","5","Amed.ma","","CHASE SHIPMENT (enter orderRef+tracking)","Opalescence / Amed.ma","","oral-care whitening"
"Kricely Trail Shoes EU 49 US 13","clothing","ordered","2","110","AliExpress / Kricely","","CHASE SHIPMENT (enter orderRef+tracking)","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Premium Orthopedic Slippers","clothing","sourced","1","40","AliExpress","","PLACE ORDER","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Kricely Trail Shoes EU 49/US 13","clothing","sourced","2","130","AliExpress","","PLACE ORDER","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Brandit M-65 Giant Jacket Olive 2XL","clothing","sourced","1","90","AliExpress","","PLACE ORDER","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Premium Orthopedic Slippers","clothing","sourced","1","40","Amazon EU","","PLACE ORDER","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"TV SAMSUNG SMART TV UHD 65""","electronics","sourced","1","125","Samsung","","PLACE ORDER","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"TV SAMSUNG UHD SMART 43"" UA43U8000FUXM","electronics","sourced","1","318","Jumia / Digitronics","","PLACE ORDER","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"Soundbar","electronics","ordered","1","80","Samsung Maroc","HT-002","CHASE SHIPMENT (enter orderRef+tracking)","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"Dashcam","electronics","ordered","1","50","Jumia Maroc","HT-003","CHASE SHIPMENT (enter orderRef+tracking)","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Samsung TV 65""","electronics","ordered","1","500","Samsung Maroc","YT-003","CHASE SHIPMENT (enter orderRef+tracking)","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"Coffee Machine","electronics","ordered","1","80","Jumia Maroc","YT-004","CHASE SHIPMENT (enter orderRef+tracking)","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Electronics Accessories","electronics","ordered","5","50","Wholesale Supplier (JemlaMaroc)","YT-006","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011 (tm alfagros)","electronics wholesale, direct importer, Casablanca kaysariya"
"OnePlus Phone (Refurbished Avito)","electronics","ordered","1","200","Avito Maroc (Refurbished)","YT-007","CHASE SHIPMENT (enter orderRef+tracking)","KRTechPro","0604118058","refurb PCs/workstations best for Dell Precision"
"Samsung TV 43""","electronics","ordered","1","300","Samsung Maroc","HT-001","CHASE SHIPMENT (enter orderRef+tracking)","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"Dell Laptop (Refurbished from Avito)","electronics","ordered","1","300","Avito Maroc (Refurbished)","YT-001","CHASE SHIPMENT (enter orderRef+tracking)","KRTechPro","0604118058","refurb PCs/workstations best for Dell Precision"
"Tablette CR 10.1"" Android 16 2-en-1 GMS Tab","electronics","sourced","1","120","Amazon EU","","PLACE ORDER","Alfa Gros","0630000011","electronics wholesale, direct importer"
"TV SAMSUNG UHD SMART 43""","electronics","ordered","1","350","Amazon EU","","CHASE SHIPMENT (enter orderRef+tracking)","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"Caméra DVR TOTNG 1080P 170° Night Vision","electronics","ordered","1","45","Amazon EU","","CHASE SHIPMENT (enter orderRef+tracking)","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"BARRE DE SON SAMSUNG 2.0","electronics","sourced","1","130","Amazon EU","","PLACE ORDER","Alfa Gros","0630000011 (tm alfagros)","electronics wholesale, direct importer, Casablanca kaysariya"
"Barre de Son SAMSUNG 2.0 HW-B400F","electronics","sourced","1","90","Toko.ma","","PLACE ORDER","Alfa Gros","0630000011 (tm alfagros)","electronics wholesale, direct importer, Casablanca kaysariya"
"Tablette CR 10.1"" Android 16 2-en-1 GMS Tab","electronics","sourced","1","120","Amazon EU","","PLACE ORDER","Alfa Gros","0630000011","electronics wholesale, direct importer"
"BARRE DE SON SAMSUNG 2.0","electronics","sourced","1","130","Amazon EU","","PLACE ORDER","Alfa Gros","0630000011 (tm alfagros)","electronics wholesale, direct importer, Casablanca kaysariya"
"OnePlus 15 5G Android Smartphone","electronics","ordered","1","750","Amazon US","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"TV SAMSUNG UHD SMART 43""","electronics","purchased","1","350","Amazon EU","","ENTER REAL SUPPLIER + orderRef","Planet Electro / Alfa Gros","0684390026 / 0630000011","electronics wholesale, direct importer"
"Tablette CR 10.1 Android 16 8GB/128GB","electronics","purchased","1","135","VASOUN / Jumia","","ENTER REAL SUPPLIER + orderRef","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Camera DVR TOTNG 1080P 170° Night Vision","electronics","sourced","1","45","AliExpress","","PLACE ORDER","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Pack cameras securite Dahua DVR + 4 cameras 2MP","electronics","ordered","1","120","Jumia / Dahua","","CHASE SHIPMENT (enter orderRef+tracking)","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Trail Shoes","fashion","ordered","1","50","Jumia Maroc","YT-009","CHASE SHIPMENT (enter orderRef+tracking)","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Perfumes (Assorted)","fashion","ordered","3","45","ParfumMaroc","BT-004","CHASE SHIPMENT (enter orderRef+tracking)","Parfumerie Prestige","0782-920468","Parfumerie.ma official"
"Slippers","fashion","ordered","1","15","Jumia Maroc","BT-006","CHASE SHIPMENT (enter orderRef+tracking)","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Jackets","fashion","ordered","2","80","Jumia Maroc","YT-010","CHASE SHIPMENT (enter orderRef+tracking)","simo_shoop_","0784499160 (Casa derb sultan)","clothing/trousers/shoes bulk"
"Stickers/Accessories","fashion","ordered","10","30","Wholesale Supplier (JemlaMaroc)","YT-011","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop / Jumia","0651296438 (Fès)","household/deco + stickers"
"Cigarettes + Filters (lepiceriefineandco.ma)","fashion","ordered","10","50","lepiceriefineandco.ma","YT-002","CHASE SHIPMENT (enter orderRef+tracking)","simo_shoop_","0784499160 (Casa derb sultan)","clothing bulk: t-shirts, polos, trousers, shorts"
"Pack Légumes Frais Maroc + Fresh Fish 5Kg","food","sourced","1","25","CTT Maroc","","PLACE ORDER","Marche local Bouznika","","local fresh produce"
"Cafe Pur Arabica 1KG Bali","food","purchased","3","24","Temu","","ENTER REAL SUPPLIER + orderRef","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Cafe Pur Arabica 1KG BALI","food","ordered","3","51","Mirka.ma","","CHASE SHIPMENT (enter orderRef+tracking)","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Pack Legumes Frais Maroc + Poisson frais 5Kg","food","ordered","1","35","Marche local Bouznika","","CHASE SHIPMENT (enter orderRef+tracking)","Marche local Bouznika","","local fresh produce"
"Mini-Bar ELEXIA RM004","furniture","ordered","1","60","Elexia","","CHASE SHIPMENT (enter orderRef+tracking)","ELEXIA (mini-bar)","","Mini-Bar ELEXIA RM004 direct"
"Superfood.ma Pack Diabetes","health","sourced","1","19","Superfood.ma","","PLACE ORDER","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Superfood.ma Pack Nitric Oxide","health","purchased","1","23","Superfood.ma","","ENTER REAL SUPPLIER + orderRef","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Canne orthopedique premium pliable aluminium","health","sourced","1","19","Locamed / Jumia","","PLACE ORDER","Superfood.ma","","already in skill approved list — packs stuck; attach real order+tracking"
"Nitric Oxide Production Stimulator","health","sourced","1","35","Temu","","PLACE ORDER","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Whitening Products","health","ordered","3","60","Amed.ma","YT-008","CHASE SHIPMENT (enter orderRef+tracking)","Opalescence / Amed.ma","","oral-care whitening"
"Diabetes Pack","health","sourced","1","45","Temu","","PLACE ORDER","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Superfood.ma Nitric Oxide Pack","health","ordered","1","35","Superfood.ma","BT-001","CHASE SHIPMENT (enter orderRef+tracking)","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Plus Diabetes Pack","health","sourced","1","40","Temu","","PLACE ORDER","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Superfood.ma Diabetes Pack","health","ordered","1","40","Superfood.ma","BT-002","CHASE SHIPMENT (enter orderRef+tracking)","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Superfood.ma Tablet","health","ordered","1","20","Superfood.ma","BT-003","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Opalescence Go Teeth Whitening","health","sourced","1","50","Amazon US","","PLACE ORDER","Opalescence / Amed.ma","","oral-care whitening"
"Natural Alternatives to NAC Supplement","health","sourced","1","25","Amazon US","","PLACE ORDER","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Alternatives naturelles NAC supplements","health","ordered","1","20","Superfood.ma","","CHASE SHIPMENT (enter orderRef+tracking)","Superfood.ma","","already in skill approved list — attach real order+tracking"
"Pantoufles orthopediques cuir medical unisexe","health","ordered","1","18","VEADA / Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Superfood.ma","","already in skill approved list — packs stuck; attach real order+tracking"
"Brosse Électrique Rotative 5-en-1 USB","home","sourced","1","25","Amazon EU","","PLACE ORDER","Déco Shop","0651296438 (Fès)","crystal decoration + household items — covers home gap"
"Brosse Électrique Rotative 5-en-1 USB","home","sourced","1","25","AliExpress","","PLACE ORDER","Déco Shop","0651296438 (Fès)","crystal decoration + household items — covers home gap"
"Nettoyeur Haute Pression Lightning","home","purchased","1","35","AliExpress","","ENTER REAL SUPPLIER + orderRef","Déco Shop","0651296438 (Fès)","crystal decoration + household items — covers home gap"
"Nettoyeur Haute Pression Lightning","home","sourced","1","35","Amazon EU","","PLACE ORDER","Déco Shop","0651296438 (Fès)","crystal decoration + household items — covers home gap"
"Papier peint marbre 500x40cm 3 rouleaux","home","ordered","1","15","Coucou / Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop","0651296438 (Fès)","crystal decoration + household"
"Pressure Washer","home","ordered","1","120","Jumia Maroc","HT-005","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop","0651296438 (Fès)","crystal decoration + household items — covers home gap"
"Brush","home","ordered","1","5","Jumia Maroc","HT-004","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop","0651296438 (Fès)","crystal decoration + household items — covers home gap"
"Mini-Bar","home","ordered","1","150","Jumia Maroc","YT-005","CHASE SHIPMENT (enter orderRef+tracking)","ELEXIA (mini-bar)","","Mini-Bar ELEXIA RM004 direct"
"Walking Cane","home","ordered","1","10","Jumia Maroc","BT-005","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop","0651296438 (Fès)","crystal decoration + household items — covers home gap"
"Boite rangement murale 4 pieces","home","ordered","1","7","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop","0651296438 (Fès)","crystal decoration + household"
"Cendrier Creatif Noir","home","ordered","1","7","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Déco Shop","0651296438 (Fès)","crystal decoration + household"
"Dell Precision 3541 i7 32GB 4TB refurbished","it_equipment","purchased","2","650","Avito refurbished","","ENTER REAL SUPPLIER + orderRef","KRTechPro","0604118058","refurb PCs/workstations best for Dell Precision"
"Outils impression 3D spatule + pince 2pcs","it_equipment","ordered","1","8","TAGin3D","","CHASE SHIPMENT (enter orderRef+tracking)","TAGin3D","",""
"Mini PC and Monitor","it_equipment","purchased","1","320","Amazon US","","ENTER REAL SUPPLIER + orderRef","Amazon US","",""
"Security Cameras for Shop Pack","it_equipment","purchased","1","180","AliExpress","","ENTER REAL SUPPLIER + orderRef","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Mini PC + Monitor security camera compatible","it_equipment","ordered","1","90","Lenovo ThinkCentre refurbished / Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Orgostech / Alfa Gros","","cameras, PCs; or Alfa Gros wholesale"
"Protecteurs eclaboussures evier cuisine","kitchen","ordered","8","16","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Tout à Tous / Jumia","","home decor + kitchen essentials"
"Brosse Electrique Rotative 5-en-1 USB","kitchen","ordered","1","6","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Jumia","",""
"Nettoyeur Haute Pression Lightning portable","kitchen","ordered","1","21","Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Jumia","",""
"Kit Pause Café Gold","kitchen","sourced","1","170","Amazon EU","","PLACE ORDER","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Kit Pause Cafe Gold","kitchen","ordered","1","170","Cafe Gold","","CHASE SHIPMENT (enter orderRef+tracking)","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Stylish Cane","other","sourced","1","45","Amazon EU","","PLACE ORDER","Amazon EU","",""
"Mini Téléphone Portable 2G Dual SIM","telecom","sourced","1","18","CTT Maroc","","PLACE ORDER","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Mini Telephone Portable 2G Dual SIM","telecom","ordered","4","44","Jumia / BM10","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Panter Cafe Creme Original Cigarillos","tobacco","purchased","5","35","Brooklyn Smoke Shop","","ENTER REAL SUPPLIER + orderRef","Mirka.ma / Beta Miel","","skill approved coffee/honey"
"Wholesale Electronics Bulk Pack","wholesale_lot","purchased","1","200","Temu","","ENTER REAL SUPPLIER + orderRef","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Electronics wholesale lot 20 items under $10","wholesale_lot","ordered","20","80","JemlaMaroc / Jumia","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Phone Camera Lens Clip-on Kit","Électronique wholesale","ordered","3","24","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Bluetooth Foldable Keyboard","Électronique wholesale","ordered","3","27","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"USB Hub 4-Port","Électronique wholesale","purchased","5","35","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Mini Portable Projector","Électronique wholesale","ordered","2","20","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"USB Rechargeable Lighter","Électronique wholesale","ordered","5","25","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Wireless Presentation Pointer","Électronique wholesale","purchased","3","21","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Mini USB Desk Fan","Électronique wholesale","sourced","5","25","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"LED Light Strips RGB Remote","Électronique wholesale","ordered","5","30","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Smartwatch Bands Silicone","Électronique wholesale","sourced","5","20","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Mini FM Radio Receiver","Électronique wholesale","ordered","3","15","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Digital Hygrometer LCD","Électronique wholesale","ordered","3","15","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Portable SSD Enclosure USB-C","Électronique wholesale","ordered","3","24","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Smartphone Gimbal Stabilizer","Électronique wholesale","ordered","2","20","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Smartphone Cleaning Kit UV","Électronique wholesale","ordered","3","21","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Portable Power Strip USB","Électronique wholesale","ordered","3","24","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Earphone Organizer Case","Électronique wholesale","ordered","5","15","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Portable FM Transmitter Car","Électronique wholesale","ordered","3","21","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Digital Voice Recorder","Électronique wholesale","ordered","3","27","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Touchscreen Gloves Winter","Électronique wholesale","ordered","5","25","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"RFID Blocking Wallet","Électronique wholesale","ordered","3","18","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Portable Digital Scale Luggage","Électronique wholesale","ordered","3","21","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Bluetooth Car Kit AUX Hands-free","Électronique wholesale","ordered","3","24","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Coding Auto","0602942029 (Agadir)","car accessories / dashcam"
"LED Reading Glasses","Électronique wholesale","ordered","3","24","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Lavalier Microphone Clip-on","Électronique wholesale","ordered","3","24","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Cable Management Clips Adhesive","Électronique wholesale","ordered","5","15","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Electronic Organizer Travel Case","Électronique wholesale","ordered","3","18","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Portable Bluetooth Receiver","Électronique wholesale","ordered","3","21","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Smartphone Mini Tripod + Remote","Électronique wholesale","ordered","3","21","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Portable Hand Warmer + Power Bank","Électronique wholesale","ordered","3","27","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Portable Phone Charger 5000mAh","Électronique wholesale","purchased","5","30","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","Alfa Gros","0630000011","electronics wholesale, direct importer"
